"match_id","time","home_fault","card","away_fault"
146818,"58","Lerma J.","yellow card",""
146818,"63","Stanislas J.","yellow card",""
146818,"64","Wilson C.","yellow card",""
146821,"38","","yellow card","Capoue E."
146821,"64","","yellow card","Hughes W."
146822,"34","Anderson F.","yellow card",""
146822,"68","","yellow card","Tarkowski J."
146823,"52","","yellow card","Fabinho"
146824,"24","Bennett R.","yellow card",""
146824,"78","","yellow card","Foyth J."
146824,"87","","yellow card","Winks H."
146825,"68","Traore B.","yellow card",""
146825,"81","","yellow card","Palencia S."
146827,"28","Ciman L.","yellow card",""
146828,"44","Dante","yellow card",""
146829,"50","Romao J.","red card",""
146829,"58","","yellow card","Pele"
146829,"71","","red card","Pele"
146829,"88","","yellow card","Grandsir S."
146830,"20","Sissoko I.","yellow card",""
146830,"48","","yellow card","Garcia M."
146830,"74","Lala K.","yellow card",""
146835,"33","","yellow card","Zagadou D."
146835,"33","","yellow card","Delaney T."
146836,"22","","yellow card","Sabitzer M."
146836,"38","Ibisevic V.","yellow card",""
146836,"78","Leckie M.","yellow card",""
146837,"8","D'Ambrosio D.","yellow card",""
146837,"18","","yellow card","Gunter K."
146837,"31","Martinez L.","yellow card",""
146838,"28","","yellow card","N'Zonzi S."
146838,"37","","yellow card","Fazio F."
146838,"67","Biraghi C.","yellow card",""
146838,"77","Veretout J.","yellow card",""
146838,"88","","yellow card","Pellegrini Lo."
146839,"32","","yellow card","Bradaric F."
146839,"50","","yellow card","Pavoletti L."
146839,"63","","yellow card","Pisacane F."
146839,"76","Matuidi B.","yellow card",""
146844,"13","En Nesyri Y.","yellow card",""
146844,"29","","yellow card","Lucas"
146844,"53","Silva J.","yellow card",""
146844,"85","Pichu Cuellar","yellow card",""
146845,"45","Asensio M.","yellow card",""
147207,"4","","yellow card","Luongo M."
147207,"19","Reed H.","yellow card",""
147207,"33","Smallwood R.","yellow card",""
147207,"51","","yellow card","Eze E."
147207,"56","Evans C.","yellow card",""
147207,"66","","yellow card","Leistner T."
147209,"51","","yellow card","Camp L."
147209,"65","","yellow card","Gardner G."
147209,"82","","yellow card","Morrison M."
147216,"20","Shawcross R.","yellow card",""
147216,"23","","yellow card","Clayton A."
147899,"29","Eduok S.","yellow card",""
147899,"67","","yellow card","Doukara S."
147899,"70","","yellow card","Sinik D."
147899,"81","","yellow card","Sangare N."
147899,"85","","yellow card","Vainqueur W."
147899,"90+3","Koita B.","yellow card",""
147980,"10","","yellow card","Ward-Prowse J."
147980,"38","Aguero S.","yellow card",""
147981,"86","","yellow card","Milivojevic L."
147983,"29","","yellow card","Reine-Adelaide J."
147983,"50","Nordin A.","yellow card",""
147984,"30","","yellow card","Thauvin F."
147984,"54","","yellow card","Sanson M."
147984,"88","","yellow card","Luiz Gustavo"
147985,"45","","yellow card","Lukebakio D."
147985,"48","","yellow card","Ayhan K."
147985,"60","Plea A.","yellow card",""
147986,"64","","yellow card","Bargfrede P."
147986,"80","","yellow card","Moisander N."
147987,"19","Acerbi F.","yellow card",""
147987,"57","","yellow card","Luiz E."
147987,"69","","yellow card","Felipe"
147987,"76","","yellow card","Cionek T."
147990,"11","Praet D.","yellow card",""
147990,"32","","yellow card","Rincon T."
147990,"40","Ekdal A.","yellow card",""
147990,"51","","yellow card","Meite S."
147991,"24","","yellow card","Ilicic J."
147991,"41","","yellow card","Gomez A."
147991,"47","Helander F.","yellow card",""
147992,"28","Samir","yellow card",""
147992,"48","","yellow card","Kessie F."
147992,"64","Troost-Ekong W.","yellow card",""
147992,"68","","yellow card","Zapata C."
147992,"70","Pussetto I.","yellow card",""
147992,"90+5","Nuytinck B.","red card",""
147992,"90+8","","yellow card","Romagnoli A."
147997,"24","","red card","Duarte R."
147997,"62","De Blasis P.","red card",""
147998,"30","Costa J.","yellow card",""
147998,"31","","yellow card","Jason"
147998,"37","","yellow card","Rochina R."
147998,"39","Caseres S.","yellow card",""
147998,"78","","yellow card","Bardhi E."
147998,"90+4","Alvaro","yellow card",""
148000,"73","","yellow card","Navas J."
148000,"79","","yellow card","Amadou I."
148000,"86","Hernandez T.","yellow card",""
148000,"90+2","","yellow card","Mesa R."
148001,"62","","yellow card","Junca D."
148001,"65","Joaquin","yellow card",""
148001,"69","Canales S.","yellow card",""
148001,"72","Junior F.","yellow card",""
148001,"79","Mandi A.","yellow card",""
148001,"82","","yellow card","Yokuslu O."
148188,"57","","yellow card","Hernandez P."
148188,"79","McManaman C.","yellow card",""
148188,"89","","yellow card","Douglas B."
148188,"90+2","Morsy S.","yellow card",""
148965,"24","","yellow card","Kana-Biyik J."
148965,"67","","yellow card","Rotman R."
148965,"76","","red card","Kana-Biyik J."
148965,"87","","yellow card","Basacikoglu B."
148966,"25","","yellow card","Donald M."
148966,"30","","yellow card","Kas E."
148966,"45+4","Demiral M.","yellow card",""
148966,"65","Tzavellas G.","yellow card",""
148968,"18","Ozeren Y.","yellow card",""
148968,"22","","yellow card","Altintas E."
148968,"64","Bag C.","yellow card",""
148968,"72","","yellow card","Ogur B."
148968,"84","Karadeniz G.","yellow card",""
148968,"90+5","","yellow card","Acil M."
148971,"14","","yellow card","Kacar T."
148971,"36","Yakut T.","yellow card",""
148971,"54","Kocabas A.","yellow card",""
148971,"58","Celik M.","yellow card",""
148971,"79","Kilicarslan E.","yellow card",""
148971,"90","Oner I.","yellow card",""
149083,"34","","yellow card","Fosu-Mensah T."
149083,"76","","yellow card","Mitrovic A."
149083,"89","Billing P.","yellow card",""
149084,"20","","yellow card","San Jose M."
149084,"48","","yellow card","Garcia D."
149084,"66","Granero E.","yellow card",""
149084,"76","","yellow card","Nunez U."
149169,"76","","yellow card","Camdali A."
149170,"60","Pereira D.","yellow card",""
149170,"64","","yellow card","Yatabare M."
149170,"65","","yellow card","Sahiner O."
149170,"66","","red card","Sahiner O."
149172,"23","","yellow card","Sahinturk S."
149172,"45+1","Yilmaz I.","yellow card",""
149172,"48","","yellow card","Cil F."
149172,"77","","yellow card","Glumac T."
149172,"90","Uysal M.","yellow card",""
149583,"68","","yellow card","Aaneba I."
149583,"83","","yellow card","Mothiba L."
149587,"13","Boateng E.","yellow card",""
149587,"24","Chema","yellow card",""
149587,"49","Morales J.","yellow card",""
149587,"53","","yellow card","Illarramendi A."
149587,"65","Bardhi E.","yellow card",""
149587,"76","Campana J.","yellow card",""
149587,"88","Oier","yellow card",""
149762,"43","Boutaib K.","yellow card",""
149762,"66","","yellow card","Rodallega H."
149789,"50","Morgan W.","yellow card",""
149789,"76","Iheanacho K.","yellow card",""
149790,"45+5","Schar F.","yellow card",""
149790,"90+3","Rondon S.","yellow card",""
149790,"90+3","","yellow card","Cook L."
149791,"38","Bertrand R.","yellow card",""
149792,"40","Tomkins J.","yellow card",""
149792,"86","","yellow card","Winks H."
149794,"12","","yellow card","Laborde G."
149794,"50","","yellow card","Delort A."
149794,"90+1","N'Doye C.","yellow card",""
149795,"14","Maouassa F.","yellow card",""
149795,"17","","yellow card","Danilo"
149795,"20","Maouassa F.","red card",""
149795,"29","","yellow card","Balotelli M."
149795,"45+1","Landre L.","red card",""
149795,"57","","yellow card","Herelle C."
149795,"65","","yellow card","Jallet C."
149796,"18","","yellow card","Chavalerin X."
149796,"27","Hamouma R.","yellow card",""
149796,"67","Diony L.","yellow card",""
149796,"81","Gabriel S.","yellow card",""
149797,"31","","yellow card","Adenon K."
149797,"45","Sidibe K.","yellow card",""
149797,"81","Gradel M.","yellow card",""
149797,"90","Cahuzac Y.","yellow card",""
149798,"27","","yellow card","Mittelstadt M."
149798,"41","","red card","Mittelstadt M."
149798,"80","Bodzek A.","yellow card",""
149798,"82","","yellow card","Lazaro V."
149799,"67","Hofler N.","yellow card",""
149799,"77","Gulde M.","yellow card",""
149799,"84","","yellow card","Onisiwo K."
149800,"16","","yellow card","Gouweleeuw J."
149800,"81","Nordtveit H.","yellow card",""
149803,"29","Weigl J.","yellow card",""
149803,"36","Akanji M.","yellow card",""
149803,"55","","yellow card","Ribery F."
149803,"88","","yellow card","Sule N."
149803,"90+4","","yellow card","Wagner S."
149804,"27","","yellow card","Barilla A."
149804,"45","","yellow card","Sepe L."
149804,"82","Rincon T.","yellow card",""
149805,"8","","yellow card","Barella N."
149805,"17","","yellow card","Castro L."
149805,"34","Valdifiori M.","yellow card",""
149805,"43","Felipe","yellow card",""
149805,"90","","yellow card","Sau M."
149806,"45+1","","yellow card","Insigne L."
149806,"77","Bessa D.","yellow card",""
149811,"15","","yellow card","Arbilla A."
149811,"41","Nacho","yellow card",""
149811,"63","","yellow card","Pena R."
149811,"73","","red card","Arbilla A."
149811,"81","Calero F.","yellow card",""
149812,"30","Antunes V.","yellow card",""
149812,"54","","yellow card","Gaya J."
149812,"56","","yellow card","Coquelin F."
149812,"75","Gonzalez B.","yellow card",""
149812,"79","Gonzalez B.","red card",""
149812,"90+3","","yellow card","Garay E."
149813,"38","Costa D.","yellow card",""
149813,"49","","yellow card","Benat"
149813,"66","Kalinic N.","yellow card",""
149813,"66","Vitolo","yellow card",""
149813,"66","Adan A.","yellow card",""
149813,"82","","yellow card","San Jose M."
150136,"12","","yellow card","Elphick T."
150136,"36","","yellow card","Irvine J."
150139,"75","","yellow card","Johnson D."
150139,"79","","yellow card","Earl J."
150139,"88","Hunt J.","yellow card",""
150143,"68","Dawson M.","yellow card",""
150144,"18","Freeman L.","yellow card",""
150144,"59","","yellow card","Sawyers R."
150144,"65","Wells N.","yellow card",""
150146,"55","Livermore J.","yellow card",""
150146,"64","Robson-Kanu H.","yellow card",""
150759,"32","","yellow card","Dja Djedje B."
150759,"41","","yellow card","Pinto T."
150759,"82","Ay S.","yellow card",""
150761,"17","Tiago Lopes","yellow card",""
